time,center_of_mass,eccentricity,variance_of_radius,mean_radius,rna_amount,c_light,c_dense,volume,velocity,aspect,smoothed_distance,smoothed_velocity,Mc,Mm,Chi,kp,kd,sigma,alpha,cplus,cminus
5879.19775390625,0.004788692596328,0.0574098985462298,0.0003096447308026,4.764323184608309,17.11565523507567,3.508913993835449,4.441488742828369,72.2689428543271,,1.0016520330464078,0.004810678686882787,8.023653769902161e-08,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
3679.197998046875,0.1058638174024152,0.1111003527320848,0.0006920614716339,4.755513163887002,17.114711378639075,3.5090155601501465,4.442375183105469,72.13082734083844,-0.0002220043374742,1.006229372077443,0.10525172058533827,0.0001621600819041438,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
3279.197998046875,0.201548481573431,0.1193093274213955,0.0005474576141192,4.757928747637367,17.112172628052747,3.508978843688965,4.44224739074707,72.16535621973931,-0.0001674713981685,0.992857131912872,0.20303846863846903,0.00032075098367408475,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
3029.197998046875,0.304695560751662,0.1766209376829995,0.0006641471181843,4.766870972645557,17.107798385496455,3.508915424346924,4.441912651062012,72.23441397725405,-0.0007816072893826,1.0159721526442502,0.305189808430831,0.0005352238981491553,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
2859.197998046875,0.3976394408222099,0.1519537312381299,0.0007758279131274,4.76546677277319,17.102023567774076,3.5088610649108887,4.441944599151611,72.26894285655793,-0.0007255155765867,1.0117488239933317,0.4028872338451174,0.0006338382681119331,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
2719.197998046875,0.4903243215308402,0.187617311959668,0.0015903333413973,4.763087523828349,17.094248234711483,3.5087482929229736,4.441595554351807,72.37252949308781,-0.0005515628520556,1.018078837904221,0.5023480463848611,0.0007840897742732687,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
2609.197998046875,0.5958510591490276,0.1945043257594176,0.0013433768435518,4.770371739857887,17.08521104282778,3.5086538791656494,4.44130802154541,72.45885168998248,-0.0012234770436188,1.0194701879205366,0.6003957951476521,0.0010164254465303904,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
2509.197998046875,0.6978836866056425,0.2428611889804204,0.0025620074691416,4.773299622350261,17.073835936516797,3.508643388748169,4.441840171813965,72.42432281198246,-0.0011994588135339,1.030862953267068,0.7075039678436991,0.0011528855123058498,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
2429.197998046875,0.7897739309229943,0.2518337047531815,0.0039788693523341,4.7760661157780016,17.06187980509077,3.5083446502685547,4.44024133682251,72.7523471593302,-0.0011677076312666,1.033302809141222,0.8033065181263261,0.0012720704913017841,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
2359.197998046875,0.8832549787019348,0.3026404304903721,0.0072891306597355,4.775012739920126,17.048803750313574,3.508341789245605,4.440923690795898,72.70055384229353,-0.0014237843124902,1.049202558279625,0.8970750630617633,0.0014184901734041189,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
2289.197998046875,0.9939633124683924,0.3566713401432652,0.0119248729948456,4.778896135495815,17.03277730949485,3.508336067199707,4.44163703918457,72.6487605253538,-0.0014541698339644,1.0704003071309536,1.001862192588252,0.001549385408951283,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
2229.197998046875,1.085020992061099,0.3630967939399894,0.014984237242827,4.784249999375346,17.01628114360478,3.5080714225769043,4.440403938293457,72.92499155494458,-0.0009976492235101,1.0732476205885255,1.1022415811922521,0.0017608274846609637,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
2169.197998046875,1.1927340308326675,0.3990405423070135,0.0219976062616218,4.792878089480622,16.996852656920247,3.5079004764556885,4.439904689788818,73.08037150990049,-0.0020036365284347,1.0905918876186635,1.2103631609186973,0.0018456013902480792,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
2119.197998046875,1.2952904433097323,0.4197790688266389,0.0272331403732514,4.785567706831743,16.97815228353627,3.5078892707824707,4.440654754638672,73.0285781927751,-0.0016730507552299,1.101775014691661,1.3076930037335766,0.0019903581147211052,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
2079.197998046875,1.3785160141450088,0.4529981681505796,0.0379879808879415,4.801077676213448,16.961395819215422,3.5077242851257324,4.44010591506958,73.18395814755603,-0.0021147951594928,1.121690589242483,1.3911392809756535,0.0021825560196356425,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
2029.1978759765625,1.4878884789457438,0.480963395455507,0.0518196002814089,4.806440367103735,16.93803724934295,3.507498025894165,4.439205646514893,73.40839586003591,-0.0027587241920791,1.140588121257656,1.5012987207419426,0.002234068482438928,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
1989.1978759765625,1.580943312652049,0.5108393855339307,0.0658461066338084,4.813606633566987,16.917308679726197,3.5073471069335938,4.438751697540283,73.54651137554676,-0.0029489177644072,1.1632287035133153,1.5941369813523285,0.0023705250771668684,1.0,1.0,-0.1,0.1,1.0,2.5,1.0,4.5,3.5
